月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,590,356,https://xl.16888.com/style-202111-202111-1.html,0.46%,16,https://xl.16888.com/f/57412/history-202111-202111-1.html,185,https://xl.16888.com/level-7-202111-202111-1.html
2021-10,956,298,https://xl.16888.com/style-202110-202110-1.html,0.85%,14,https://xl.16888.com/f/57412/history-202110-202110-1.html,155,https://xl.16888.com/level-7-202110-202110-1.html
2021-09,1246,255,https://xl.16888.com/style-202109-202109-1.html,1.07%,13,https://xl.16888.com/f/57412/history-202109-202109-1.html,132,https://xl.16888.com/level-7-202109-202109-1.html
2021-08,800,291,https://xl.16888.com/style-202108-202108-1.html,0.68%,15,https://xl.16888.com/f/57412/history-202108-202108-1.html,150,https://xl.16888.com/level-7-202108-202108-1.html
2021-07,290,343,https://xl.16888.com/style-202107-202107-1.html,0.42%,13,https://xl.16888.com/f/57412/history-202107-202107-1.html,174,https://xl.16888.com/level-7-202107-202107-1.html
2021-06,10,476,https://xl.16888.com/style-202106-202106-1.html,0.02%,16,https://xl.16888.com/f/57412/history-202106-202106-1.html,252,https://xl.16888.com/level-7-202106-202106-1.html
2021-05,298,363,https://xl.16888.com/style-202105-202105-1.html,0.28%,16,https://xl.16888.com/f/57412/history-202105-202105-1.html,197,https://xl.16888.com/level-7-202105-202105-1.html
2021-04,607,310,https://xl.16888.com/style-202104-202104-1.html,0.60%,15,https://xl.16888.com/f/57412/history-202104-202104-1.html,167,https://xl.16888.com/level-7-202104-202104-1.html
2021-03,1375,236,https://xl.16888.com/style-202103-202103-1.html,1.28%,12,https://xl.16888.com/f/57412/history-202103-202103-1.html,85,https://xl.16888.com/level-7-202103-202103-1.html
2021-02,1,479,https://xl.16888.com/style-202102-202102-1.html,0.00%,16,https://xl.16888.com/f/57412/history-202102-202102-1.html,239,https://xl.16888.com/level-7-202102-202102-1.html
2021-01,139,399,https://xl.16888.com/style-202101-202101-1.html,0.16%,15,https://xl.16888.com/f/57412/history-202101-202101-1.html,210,https://xl.16888.com/level-7-202101-202101-1.html
2020-12,4844,132,https://xl.16888.com/style-202012-202012-1.html,3.32%,9,https://xl.16888.com/f/57412/history-202012-202012-1.html,61,https://xl.16888.com/level-7-202012-202012-1.html
2020-11,1461,266,https://xl.16888.com/style-202011-202011-1.html,1.00%,13,https://xl.16888.com/f/57412/history-202011-202011-1.html,134,https://xl.16888.com/level-7-202011-202011-1.html
2020-10,--,--,https://xl.16888.com/style-202010-202010-1.html,--,--,https://xl.16888.com/f/57412/history-202010-202010-1.html,--,https://xl.16888.com/level--202010-202010-1.html
2020-10,2062,727,https://xl.16888.com/style-202010-202010-1.html,0.00%,22,https://xl.16888.com/f/57412/history-202010-202010-1.html,--,https://xl.16888.com/level--202010-202010-1.html
